Year,Month,Day,Estimated DGSR
1989,3,1,10.15777952
1989,3,2,5.94492761
1989,3,3,13.55097123
1989,3,4,5.153735622
1989,3,5,9.636339559
1989,3,6,8.573377961
1989,3,7,13.65933724
1989,3,8,12.4088606
1989,3,9,3.528212095
1989,3,10,3.71063966
1989,3,11,12.05632135
1989,3,12,6.274177411
1989,3,13,4.966673339
1989,3,14,7.096775873
1989,3,15,10.83919314
1989,3,16,4.095351956
1989,3,17,7.268061712
1989,3,18,3.954773015
1989,3,19,9.497547606
1989,3,20,8.737298725
1989,3,21,4.412002889
1989,3,22,3.064991233
1989,3,23,4.083717942
1989,3,24,4.802230999
1989,3,25,3.81385912
1989,3,26,2.698148908
1989,3,27,1.720424496
1989,3,28,2.128814518
1989,3,29,4.90132784
1989,3,30,2.985614966
1989,3,31,6.010463535
1989,4,1,4.762833688
1989,4,2,4.474227443
1989,4,3,4.674905848
1989,4,4,2.918757293
1989,4,5,2.116194927
1989,4,6,2.604715549
1989,4,7,2.048738084
1989,4,8,3.825599518
1989,4,9,2.052142165
1989,4,10,2.128736057
1989,4,11,1.717411843
1989,4,12,2.837203712
1989,4,13,1.69851107
1989,4,14,1.607173633
1989,4,15,1.679749193
1989,4,16,1.949889468
1989,4,17,1.75960745
1989,4,18,2.204011059
1989,4,19,1.563895946
1989,4,20,1.206454299
1989,4,21,1.294106283
1989,4,22,1.673634042
1989,4,23,1.738119081
1989,4,24,1.158099925
1989,4,25,1.157046016
1989,4,26,1.199274998
1989,4,27,1.07210829
1989,4,28,1.258214664
1989,4,29,0.502910402
1989,4,30,0.547073727
1989,5,1,0.556759403
1989,5,2,0.688925696
1989,5,3,0.638595019
1989,5,4,0.392170045
1989,5,5,0.255750296
1989,5,6,0.313051044
1989,5,7,0.561710837
1989,5,8,0.456050933
1989,5,9,0.633399633
1989,5,10,0.291403435
1989,5,11,0.168553841
1989,5,12,0.206041437
1989,5,13,0.122660325
1989,5,14,0.235982787
1989,5,15,0.080730687
1989,5,16,0.027995998
1989,5,17,0.120709041
1989,5,18,0.213572318
1989,5,19,0.005657538
1989,5,20,0.044420458
1989,5,21,0.109397233
1989,5,22,0.049518521
1989,5,23,0.024598291
1989,5,24,0.021577804
1989,5,25,-3.68E-05
1989,5,26,-0.024190824
1989,7,18,-0.067096385
1989,7,19,-0.052232302
1989,7,20,0.050103827
1989,7,21,0.082108875
1989,7,22,0.097303265
1989,7,23,0.067747935
1989,7,24,0.237212316
1989,7,25,0.319465688
1989,7,26,0.144669401
1989,7,27,0.049049862
1989,7,28,0.15528011
1989,7,29,0.134868073
1989,7,30,0.12906998
1989,7,31,0.037935759
1989,8,1,0.451578544
1989,8,2,0.521400116
1989,8,3,0.325346821
1989,8,4,0.30702768
1989,8,5,0.399479703
1989,8,6,0.323486485
1989,8,7,0.440198007
1989,8,8,0.271355805
1989,8,9,0.381284006
1989,8,10,0.681541349
1989,8,11,0.503891151
1989,8,12,0.741351394
1989,8,13,0.799764328
1989,8,14,0.780459189
1989,8,15,1.082406583
1989,8,16,0.860884218
1989,8,17,0.585004947
1989,8,18,0.91222211
1989,8,19,1.106009162
1989,8,20,1.178560044
1989,8,21,1.309991025
1989,8,22,1.371634368
1989,8,23,1.323140965
1989,8,24,1.356979717
1989,8,25,1.528959503
1989,8,26,1.702602395
1989,8,27,2.221223693
1989,8,28,2.468625303
1989,8,29,1.814535072
1989,8,30,1.341806075
1989,8,31,7.272737853
1989,9,1,3.606426111
1989,9,2,3.358696378
1989,9,3,3.618452407
1989,9,4,2.327558635
1989,9,5,3.713721569
1989,9,6,3.967755883
1989,9,7,2.78599111
1989,9,8,2.745256431
1989,9,9,3.140250683
1989,9,10,3.434195541
1989,9,11,4.399912605
1989,9,12,5.131096782
1989,9,13,4.402606574
1989,9,14,4.447854775
1989,9,15,3.7029649
1989,9,16,6.036679776
1989,9,17,4.499766791
1989,9,18,4.056628849
1989,9,19,8.239522678
1989,9,20,2.364753266
1989,9,21,3.44481512
1989,9,22,7.141418939
1989,9,23,4.47170271
1989,9,24,6.651215491
1989,9,25,8.13815111
1989,9,26,8.492962272
1989,9,27,9.372029619
1989,9,28,8.281229216
1989,9,29,5.812589769
1989,9,30,4.590172914
1989,10,1,6.878733586
1989,10,2,7.089368058
